Time,Open,High,Low,Last,Change,Volume
09/26/2018,221,223.75,219.76,220.42,-1.77,23984700
09/25/2018,219.75,222.82,219.7,222.19,1.4,24554300
09/24/2018,216.82,221.26,216.63,220.79,3.13,27693300
09/21/2018,220.78,221.36,217.29,217.66,-2.37,96246704
09/20/2018,220.24,222.28,219.15,220.03,1.66,26608700
09/19/2018,218.5,219.62,215.3,218.37,0.13,27123800
09/18/2018,217.79,221.85,217.12,218.24,0.36000000000001,31571700
09/17/2018,222.15,222.95,217.27,217.88,-5.96,37195100
09/14/2018,225.75,226.84,222.52,223.84,-2.57,31999200
09/13/2018,223.52,228.35,222.57,226.41,5.34,41706300
09/12/2018,224.94,225,219.84,221.07,-2.78,49278700
09/11/2018,218.01,224.3,216.56,223.85,5.52,35749000
09/10/2018,220.95,221.85,216.47,218.33,-2.97,39516400
09/07/2018,221.85,225.37,220.71,221.3,-1.8,37619800
09/06/2018,226.23,227.35,221.3,223.1,-3.77,34289900
09/05/2018,228.99,229.67,225.1,226.87,-1.49,33332900
09/04/2018,228.41,229.18,226.63,228.36,0.73000000000002,27390100
08/31/2018,226.51,228.87,226,227.63,2.6,43340100
08/30/2018,223.25,228.26,222.4,225.03,2.05,48793800
08/29/2018,220.15,223.49,219.41,222.98,3.28,27254800
08/28/2018,219.01,220.54,218.92,219.7,1.76,22776700
08/27/2018,217.15,218.74,216.33,217.94,1.78,20525100
08/24/2018,216.6,216.9,215.11,216.16,0.66999999999999,18476300
08/23/2018,214.65,217.05,214.6,215.49,0.44,18883200
08/22/2018,214.1,216.36,213.84,215.05,0.010000000000019,19018100
08/21/2018,216.8,217.19,214.025,215.04,-0.42000000000002,26159700
08/20/2018,218.1,219.18,215.11,215.46,-2.12,30287600
08/17/2018,213.44,217.95,213.16,217.58,4.26,35426900
08/16/2018,211.75,213.81,211.47,213.32,3.08,28500300
08/15/2018,209.22,210.74,208.33,210.24,0.49000000000001,28807500
08/14/2018,210.15,210.56,208.26,209.75,0.88,20748000
08/13/2018,207.7,210.95,207.7,208.87,1.34,25890800
08/10/2018,207.36,209.1,206.67,207.53,-1.35,24611200
08/09/2018,207.28,209.78,207.2,208.88,1.63,23492600
08/08/2018,206.05,207.81,204.52,207.25,0.13999999999999,22525400
08/07/2018,209.32,209.5,206.76,207.11,-1.96,25587300
08/06/2018,208,209.25,207.07,209.07,1.08,25425300
08/03/2018,207.03,208.74,205.48,207.99,0.60000000000002,33447300
08/02/2018,200.58,208.38,200.35,207.39,5.89,62404000
08/01/2018,199.13,201.76,197.31,201.5,11.21,67935696
07/31/2018,190.3,192.14,189.34,190.29,0.38,39373000
07/30/2018,191.9,192.2,189.07,189.91,-1.07,21029500
